tweet_id,favorites,retweets,user_followers,user_favourites,date_time
834086379323871233,12273,2045,9269566,146756,2017-02-21 17:04:24+00:00
833863086058651648,12643,2217,9269945,146756,2017-02-21 02:17:06+00:00
833826103416520705,17096,3497,9270025,146760,2017-02-20 23:50:09+00:00
833732339549220864,0,205,9269945,146756,2017-02-20 17:37:34+00:00
833722901757046785,19717,3007,9270025,146760,2017-02-20 17:00:04+00:00
833479644947025920,14036,1894,9269945,146756,2017-02-20 00:53:27+00:00
833124694597443584,19021,4458,9270025,146760,2017-02-19 01:23:00+00:00
832998151111966721,12461,2026,9270025,146760,2017-02-18 17:00:10+00:00
832769181346996225,0,38,9269945,146756,2017-02-18 01:50:19+00:00
832645525019123713,2746,485,9270025,146760,2017-02-17 17:38:57+00:00
832636094638288896,14933,2573,9270025,146760,2017-02-17 17:01:29+00:00
832397543355072512,11258,2041,9270025,146760,2017-02-17 01:13:34+00:00
832369877331693569,16114,2931,9270025,146760,2017-02-16 23:23:38+00:00
832273440279240704,10665,2151,9270025,146760,2017-02-16 17:00:25+00:00
832215909146226688,0,5741,9270025,146760,2017-02-16 13:11:49+00:00
832215726631055365,0,8609,9270025,146760,2017-02-16 13:11:05+00:00
832088576586297345,58,2,9270025,146760,2017-02-16 04:45:50+00:00
832040443403784192,0,8851,9270025,146760,2017-02-16 01:34:34+00:00
832032802820481025,16796,4311,9269945,146756,2017-02-16 01:04:13+00:00
831939777352105988,22503,5673,9270025,146760,2017-02-15 18:54:34+00:00
831926988323639298,319,34,9270026,146760,2017-02-15 18:03:45+00:00
831911600680497154,25887,5995,9270026,146760,2017-02-15 17:02:36+00:00
831670449226514432,9810,1691,9270026,146760,2017-02-15 01:04:21+00:00
831322785565769729,8778,1447,9269946,146756,2017-02-14 02:02:51+00:00
831315979191906304,6187,1040,9270026,146760,2017-02-14 01:35:49+00:00
831309418084069378,11116,2275,9270026,146760,2017-02-14 01:09:44+00:00
831262627380748289,11184,1896,9270026,146760,2017-02-13 22:03:49+00:00
830956169170665475,7523,1379,9269946,146756,2017-02-13 01:46:03+00:00
830583320585068544,62530,15451,9269946,146756,2017-02-12 01:04:29+00:00
830173239259324417,0,5259,9270026,146760,2017-02-10 21:54:58+00:00
830097400375152640,9183,2709,9270026,146760,2017-02-10 16:53:37+00:00
829878982036299777,0,4622,9269946,146756,2017-02-10 02:25:42+00:00
829861396166877184,11539,1798,9270026,146760,2017-02-10 01:15:49+00:00
829501995190984704,29936,9801,9270026,146760,2017-02-09 01:27:41+00:00
829449946868879360,9894,1865,9269946,146756,2017-02-08 22:00:52+00:00
829141528400556032,22931,6790,9270026,146760,2017-02-08 01:35:19+00:00
828770345708580865,24134,5410,9269946,146756,2017-02-07 01:00:22+00:00
828708714936930305,34298,10356,9269946,146756,2017-02-06 20:55:28+00:00
828650029636317184,8969,1245,9269946,146756,2017-02-06 17:02:17+00:00
828409743546925057,6046,1083,9270026,146760,2017-02-06 01:07:28+00:00
828408677031882754,7261,1189,9269946,146756,2017-02-06 01:03:14+00:00
828381636999917570,11882,2066,9269946,146756,2017-02-05 23:15:47+00:00
828376505180889089,6992,996,9270026,146760,2017-02-05 22:55:23+00:00
828372645993398273,11880,2730,9269946,146756,2017-02-05 22:40:03+00:00
828361771580813312,2072,165,9270026,146760,2017-02-05 21:56:51+00:00
828046555563323392,11072,2663,9269946,146756,2017-02-05 01:04:17+00:00
828011680017821696,9789,2001,9270026,146760,2017-02-04 22:45:42+00:00
827933404142436356,18883,4848,9270026,146760,2017-02-04 17:34:40+00:00
827653905312006145,14612,2800,9269946,146756,2017-02-03 23:04:02+00:00
827600520311402496,7068,866,9269946,146756,2017-02-03 19:31:54+00:00
827324948884643840,14965,2813,9270026,146760,2017-02-03 01:16:53+00:00
827199976799354881,10025,2065,9269946,146756,2017-02-02 17:00:17+00:00
826958653328592898,20334,4621,9270026,146760,2017-02-02 01:01:21+00:00
826848821049180160,34086,9361,9269946,146756,2017-02-01 17:44:55+00:00
826615380357632002,0,3689,9270026,146760,2017-02-01 02:17:19+00:00
826598799820865537,4860,230,9269946,146756,2017-02-01 01:11:25+00:00
826598365270007810,9456,2183,9269946,146756,2017-02-01 01:09:42+00:00
826476773533745153,17398,3897,9269946,146756,2017-01-31 17:06:32+00:00
826240494070030336,12535,2424,9269946,146756,2017-01-31 01:27:39+00:00
826204788643753985,4603,857,9269567,146756,2017-01-30 23:05:46+00:00
825829644528148480,12029,2338,9269946,146756,2017-01-29 22:15:05+00:00
825535076884762624,54007,16374,9270026,146760,2017-01-29 02:44:34+00:00
825147591692263424,17288,4185,9269946,146756,2017-01-28 01:04:51+00:00
825120256414846976,0,1168,9270026,146760,2017-01-27 23:16:13+00:00
825026590719483904,5911,1168,9270026,146760,2017-01-27 17:04:02+00:00
824796380199809024,0,5109,9269946,146756,2017-01-27 01:49:15+00:00
824775126675836928,14072,3280,9269946,146756,2017-01-27 00:24:48+00:00
824663926340194305,9947,1650,9269567,146756,2017-01-26 17:02:56+00:00
824325613288833024,11202,9901,9269946,146756,2017-01-25 18:38:36+00:00
824297048279236611,14235,3574,9270026,146760,2017-01-25 16:45:05+00:00
824025158776213504,4582,558,9270026,146760,2017-01-24 22:44:42+00:00
823939628516474880,10066,2542,9270026,146760,2017-01-24 17:04:50+00:00
823719002937630720,0,10379,9270026,146760,2017-01-24 02:28:08+00:00
823699002998870016,13230,2336,9269946,146756,2017-01-24 01:08:40+00:00
823581115634085888,12276,2448,9269946,146756,2017-01-23 17:20:14+00:00
823333489516937216,660,22,9269946,146756,2017-01-23 00:56:15+00:00
823322678127919110,14842,3724,9269946,146756,2017-01-23 00:13:17+00:00
823269594223824897,0,9245,9269946,146756,2017-01-22 20:42:21+00:00
822975315408461824,16396,3202,9269946,146756,2017-01-22 01:12:59+00:00
822872901745569793,124224,39979,9269567,146756,2017-01-21 18:26:02+00:00
822859134160621569,12470,2113,9269946,146756,2017-01-21 17:31:20+00:00
822647212903690241,0,5961,9270026,146760,2017-01-21 03:29:14+00:00
822610361945911296,13985,2738,9270026,146760,2017-01-21 01:02:48+00:00
822163064745328640,0,4391,9269946,146756,2017-01-19 19:25:24+00:00
821886076407029760,10690,2147,9269567,146756,2017-01-19 01:04:45+00:00
821813639212650496,0,3127,9270026,146760,2017-01-18 20:16:54+00:00
821765923262631936,7906,1557,9269946,146756,2017-01-18 17:07:18+00:00
